#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    2
3    256    1024    0.25    0
4    10    1024    0.009765625    1
5    48    1024    0.046875    1
6    64    1024    0.0625    0
7    47    1024    0.0458984375    15
8    0    1024    0.0    0
9    32    1024    0.03125    0
10    128    1024    0.125    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    16    1024    0.015625    0
15    16    1024    0.015625    0
16    37    1024    0.0361328125    0
17    19    1024    0.0185546875    10
18    0    1024    0.0    2
19    0    1024    0.0    0
20    0    1024    0.0    3
21    0    1024    0.0    0
22    0    1024    0.0    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    1    1024    0.0009765625    0
26    32    1024    0.03125    0
27    128    1024    0.125    0
28    32    1024    0.03125    0
29    0    1024    0.0    4
30    64    1024    0.0625    1
31    121    1024    0.1181640625    20
32    16    1024    0.015625    1
33    64    1024    0.0625    1
34    70    1024    0.068359375    2
35    0    1024    0.0    0
36    0    1024    0.0    4
37    64    1024    0.0625    0
38    0    1024    0.0    2
39    104    1024    0.1015625    2
40    35    1024    0.0341796875    30
41    74    1024    0.072265625    1
42    8    1024    0.0078125    1
43    80    1024    0.078125    0
44    0    1024    0.0    1
45    128    1024    0.125    0
46    0    1024    0.0    0
47    68    1024    0.06640625    0
48    37    1024    0.0361328125    22
49    0    1024    0.0    21
50    64    1024    0.0625    37
51    128    1024    0.125    0
52    64    1024    0.0625    0
53    16    1024    0.015625    0
54    128    1024    0.125    0
55    64    1024    0.0625    0
56    64    1024    0.0625    2
57    96    1024    0.09375    19
58    8    1024    0.0078125    31
59    120    1024    0.1171875    23
60    0    1024    0.0    0

average cpu utilization is: 0.043603515625
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0145345052083
average queuing jobs are: 4.33333333333
maximum queuing jobs are: 37


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
92    1563438021.71    1563438021.72    0.0189998149872    16    0.0159    0.2544    0.0348998149872    2.36666666667    4
93    1563438021.71    1563438021.75    0.0390000343323    32    0.1342    4.2944    0.173200034332    3.01008064516    5
94    1563438021.72    1563438021.75    0.0360000133514    8    0.0594    0.4752    0.0954000133514    1.85714285714    3
95    1563438021.73    1563438021.75    0.0250000953674    1    0.0005    0.0005    0.0255000953674    1.0    2
96    1563438021.73    1563438021.76    0.0240001678467    16    0.1641    2.6256    0.188100167847    2.36666666667    4
97    1563438021.74    1563438021.77    0.029000043869    16    0.0134    0.2144    0.042400043869    2.36666666667    4
98    1563438021.75    1563438021.77    0.018000125885    1    0.0021    0.0021    0.020100125885    1.0    2
99    1563438021.77    1563438021.77    0.00699996948242    16    0.0134    0.2144    0.0203999694824    2.45    4
100    1563438021.77    1563438021.77    0.00500011444092    1    0.0023    0.0023    0.00730011444092    1.0    2
101    1563438021.78    1563438021.78    0.000999927520752    8    0.008    0.064    0.00899992752075    1.92857142857    3
102    1563438021.79    1563438021.8    0.00499987602234    16    0.0126    0.2016    0.0175998760223    2.36666666667    4
103    1563438021.8    1563438021.8    0.00300002098083    1    0.0005    0.0005    0.00350002098083    1.0    2
104    1563438021.8    1563438021.8    0.00399994850159    1    0.008    0.008    0.0119999485016    1.0    2
105    1563438021.82    1563438021.82    0.00399994850159    16    0.0135    0.216    0.0174999485016    2.36666666667    4
106    1563438021.84    1563438021.84    0.00500011444092    16    0.0089    0.1424    0.0139001144409    2.36666666667    4
107    1563438021.84    1563438021.84    0.0    1    0.0008    0.0008    0.0008    1.0    2
108    1563438021.85    1563438021.86    0.00499987602234    16    0.059    0.944    0.0639998760223    2.36666666667    4
109    1563438021.86    1563438021.88    0.018000125885    32    0.0493    1.5776    0.067300125885    3.07056451613    5
110    1563438021.87    1563438021.9    0.0360000133514    32    0.0459    1.4688    0.0819000133514    3.01008064516    5
111    1563438021.89    1563438021.9    0.0140001773834    1    0.0027    0.0027    0.0167001773834    1.0    2
112    1563438022.03    1563438022.03    0.0    1    0.0016    0.0016    0.0016    1.0    2
