,aspl,diameter,hosts,number of nodes,switches
170,0.0,0,[1946],1,[922]
171,0.0,0,[1946],1,[922]
172,3.06048387097,4,"[1024, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 1631, 1961, 1228, 1389, 1391, 1362, 1561, 1402, 1249, 1738, 1325, 1038]",32,"[0, 34, 715, 238, 143, 244, 955, 28, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 607, 937, 204, 365, 367, 338, 537, 378, 225, 714, 301, 14]"
173,1.5,2,"[1153, 1026, 1507, 1740]",4,"[129, 2, 483, 716]"
174,2.98991935484,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228]",32,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204]"
175,1.5,2,"[1389, 1960, 1291, 1260]",4,"[365, 936, 267, 236]"
176,3.04032258065,4,"[1153, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1504, 1155, 1316, 1741, 1398, 1597, 1438, 1378, 1380, 1093, 1582, 1463, 2046, 1311, 1826, 1894, 2001, 2032, 1073, 1687, 1688, 1440, 1642, 1229]",32,"[129, 2, 483, 716, 47, 213, 796, 317, 480, 131, 292, 717, 374, 573, 414, 354, 356, 69, 558, 439, 1022, 287, 802, 870, 977, 1008, 49, 663, 664, 416, 618, 205]"
177,2.98991935484,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228]",32,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204]"
178,3.06653225806,4,"[1389, 1960, 1291, 1260, 1231, 1201, 1784, 1305, 1602, 1550, 1652, 2012, 1053, 1862, 1449, 1162, 1164, 1814, 1247, 1959, 1482, 1387, 1294, 1943, 1528, 1088, 1313, 1802, 1102, 1427, 2010, 1275]",32,"[365, 936, 267, 236, 207, 177, 760, 281, 578, 526, 628, 988, 29, 838, 425, 138, 140, 790, 223, 935, 458, 363, 270, 919, 504, 64, 289, 778, 78, 403, 986, 251]"
179,1.5,2,"[1024, 1153, 1058, 1739]",4,"[0, 129, 34, 715]"
